City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2021-11-03 19:37:56,65.6145,-37.6368,30.36,86,14,8.08
1,Mataura,NZ,2021-11-03 19:37:57,-46.1927,168.8643,50.49,60,8,2.91
2,Barrow,US,2021-11-03 19:37:57,71.2906,-156.7887,24.82,86,90,16.11
3,Ushuaia,AR,2021-11-03 19:34:41,-54.8,-68.3,49.62,66,75,28.77
4,Geraldton,AU,2021-11-03 19:37:58,-28.7667,114.6,55.81,88,6,11.5
5,Saint-Augustin,CA,2021-11-03 19:37:58,51.226,-58.6502,44.15,58,7,11.5
6,Artyom,AZ,2021-11-03 19:37:59,40.4723,50.333,59.14,80,53,15.23
7,Armstrong,AR,2021-11-03 19:37:59,-32.7822,-61.6022,80.58,40,0,4.83
8,Jamestown,US,2021-11-03 19:37:19,42.097,-79.2353,43.02,72,90,4.0
9,Amapa,BR,2021-11-03 19:38:00,1.0,-52.0,81.82,68,100,2.84
10,Yellowknife,CA,2021-11-03 19:38:00,62.456,-114.3525,40.41,85,40,10.36
11,Glenwood Springs,US,2021-11-03 19:38:01,39.5505,-107.3248,54.41,53,29,2.93
12,Terney,RU,2021-11-03 19:38:02,45.0503,136.6092,40.17,85,18,4.23
13,Kahului,US,2021-11-03 19:38:03,20.8947,-156.47,83.97,75,40,10.36
14,Busselton,AU,2021-11-03 19:38:03,-33.65,115.3333,44.1,86,98,4.92
15,Hilo,US,2021-11-03 19:38:04,19.7297,-155.09,82.26,70,1,0.0
16,Hirara,JP,2021-11-03 19:38:04,24.8,125.2833,73.92,65,31,13.44
17,Rikitea,PF,2021-11-03 19:38:05,-23.1203,-134.9692,73.72,73,100,15.68
18,Hermanus,ZA,2021-11-03 19:38:05,-34.4187,19.2345,64.8,80,0,10.2
19,Mar Del Plata,AR,2021-11-03 19:35:02,-38.0023,-57.5575,68.02,99,75,11.01
20,Puerto Madryn,AR,2021-11-03 19:38:06,-42.7692,-65.0385,80.35,35,100,25.84
21,Constitucion,CL,2021-11-03 19:38:06,-35.3333,-72.4167,54.55,77,100,12.93
22,Punta Arenas,CL,2021-11-03 19:35:22,-53.15,-70.9167,55.51,47,0,24.16
